"Accuracy","Precision","Recall","F1_Score","AUC_ROC","AUC_PR","classifier","dataset","model","method"
0.993573264781491,0.99740932642487,0.989717223650386,0.993548387096774,0.992909113738344,0.979104917623588,"Logistic Regression","book","Deepseek","CS (('0.2', '20'))"
0.993573264781491,0.994845360824742,0.992287917737789,0.993564993564994,0.99268442582325,0.977925179216642,"Naive Bayes","book","Deepseek","CS (('0.2', '20'))"
0.95875,0.964556962025316,0.9525,0.958490566037736,0.9859,0.973771497820263,"Random Forest","wikinews","Deepseek","CS (('0.2', '20'))"
0.955,0.984042553191489,0.925,0.95360824742268,0.97070625,0.920507299379279,"Logistic Regression","wikinews","Deepseek","CS (('0.2', '20'))"
0.95375,0.976377952755906,0.93,0.952624839948784,0.98460625,0.976741407521611,"Naive Bayes","wikinews","Deepseek","CS (('0.2', '20'))"
0.998091603053435,0.996197718631179,1,0.998095238095238,0.999898024590642,0.999900578636614,"Random Forest","wikitext","Deepseek","CS (('0.2', '20'))"
0.998091603053435,0.996197718631179,1,0.998095238095238,1,1,"Logistic Regression","wikitext","Deepseek","CS (('0.2', '20'))"
0.994274809160305,0.992395437262357,0.99618320610687,0.994285714285714,0.999941728337509,0.999941949623014,"Naive Bayes","wikitext","Deepseek","CS (('0.2', '20'))"
0.996143958868895,0.997422680412371,0.994858611825193,0.996138996138996,0.999881047574362,0.999879568214133,"Random Forest","book","Deepseek","CS (('0.2', '5'))"
0.993573264781491,0.994845360824742,0.992287917737789,0.993564993564994,0.994587664633461,0.972929521405961,"Logistic Regression","book","Deepseek","CS (('0.2', '5'))"
0.992287917737789,0.992287917737789,0.992287917737789,0.992287917737789,0.994455495271641,0.973255582341423,"Naive Bayes","book","Deepseek","CS (('0.2', '5'))"
0.95875,0.959899749373434,0.9575,0.958698372966208,0.985765625,0.981410547790199,"Random Forest","wikinews","Deepseek","CS (('0.2', '5'))"
0.95875,0.966921119592875,0.95,0.958385876418663,0.9787875,0.941625062011451,"Logistic Regression","wikinews","Deepseek","CS (('0.2', '5'))"
0.95625,0.974025974025974,0.9375,0.955414012738854,0.9852625,0.977463368795211,"Naive Bayes","wikinews","Deepseek","CS (('0.2', '5'))"
0.99618320610687,0.99618320610687,0.99618320610687,0.99618320610687,0.997807528698794,0.995746410065383,"Random Forest","wikitext","Deepseek","CS (('0.2', '5'))"
0.99618320610687,0.99618320610687,0.99618320610687,0.99618320610687,0.99784394848785,0.996897993089781,"Logistic Regression","wikitext","Deepseek","CS (('0.2', '5'))"
0.99236641221374,0.996153846153846,0.988549618320611,0.992337164750958,0.997457898723851,0.994940859459951,"Naive Bayes","wikitext","Deepseek","CS (('0.2', '5'))"
0.996143958868895,0.997422680412371,0.994858611825193,0.996138996138996,0.998608917466842,0.997246774402038,"Random Forest","book","Deepseek","CS (('0.2', '1'))"
0.994858611825193,0.994858611825193,0.994858611825193,0.994858611825193,0.999510973361265,0.999506247790113,"Logistic Regression","book","Deepseek","CS (('0.2', '1'))"
0.993573264781491,0.992307692307692,0.994858611825193,0.993581514762516,0.999471322552719,0.999471118947273,"Naive Bayes","book","Deepseek","CS (('0.2', '1'))"
0.98,0.984848484848485,0.975,0.979899497487437,0.995246875,0.995463639348566,"Random Forest","wikinews","Deepseek","CS (('0.2', '1'))"
0.96625,0.979434447300771,0.9525,0.965779467680608,0.9885375,0.980438536685495,"Logistic Regression","wikinews","Deepseek","CS (('0.2', '1'))"
0.975,0.982233502538071,0.9675,0.974811083123426,0.995425,0.994748084050828,"Naive Bayes","wikinews","Deepseek","CS (('0.2', '1'))"
0.994274809160305,0.996168582375479,0.99236641221374,0.994263862332696,0.997428762892605,0.994981140646468,"Random Forest","wikitext","Deepseek","CS (('0.2', '1'))"
0.990458015267176,0.996138996138996,0.984732824427481,0.990403071017274,0.991710856010722,0.968381496089792,"Logistic Regression","wikitext","Deepseek","CS (('0.2', '1'))"
0.990458015267176,0.992337164750958,0.988549618320611,0.990439770554493,0.99729036769419,0.996531493773776,"Naive Bayes","wikitext","Deepseek","CS (('0.2', '1'))"
0.944730077120823,0.967567567567568,0.920308483290488,0.9433465085639,0.978720732746942,0.967231125965102,"Random Forest","book","Deepseek","CS (('0.2', '50'))"
0.863753213367609,0.979661016949153,0.74293059125964,0.845029239766082,0.853093754336807,0.734278064108645,"Logistic Regression","book","Deepseek","CS (('0.2', '50'))"
